ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As of 2.8.2017.,SearchStringWOS,WOShits .As of 2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao note,GMPDtraits,GMPDtax,ParasiteCorrectedName updated,Match,disease,disease note
Onchocerca skrjabini,NA,0,,-1,3,-1,2,,VR,42682,,,,0,Onchocerca skrjabini,255,Onchocerca skrjabini,8,found in sika deer,"Yagi et al., 1994",,VR,42682,,,,NA,0,1,No,,,,Onchocerca skrjabini,Onchocerca skrjabini,,
Onchocerca suzukii,NA,0,,-1,3,-1,1,,VR,42682,,,,0,Onchocerca suzukii,2170,Onchocerca suzukii,4,found in Japanese serow (Capricornis crispus),"Yagi et al., 1994",,VR,42682,,,,NA,0,1,No,,,,Onchocerca suzukii,Onchocerca suzukii,,
Onchocerca volvulus,NA,0,,5,1,0,1,,VR,42682,,,,0,Onchocerca volvulus,22800,Onchocerca volvulus,2335,"considered human only parasite, only 2 reported cases of non-human primate infection","Osei-Atweneboana et al., 2007",,VR,42682,,,,NA,0,1,No,,,,Onchocerca volvulus,Onchocerca volvulus,,
Oncicola canis,NA,0,,-1,3,-1,1,,VR,42682,,,,0,Oncicola canis,11300,Oncicola canis,13,found in coyotes and bobcats,Chandler 1946,,VR,42682,,,,NA,0,1,No,,,,Oncicola canis,Oncicola canis,,
Oochoristica megastoma,NA,0,,,,-1,3,,VR,42682,,,,0,Oochoristica megastoma,28,Oochoristica megastoma,0,synonym for Mathevotaenia megastoma,"Stuart et al., 1998",,VR,42682,,,,NA,0,1,No,,,,Oochoristica megastoma,Oochoristica megastoma,,
Ophryocotyle buecki,NA,0,,,,-1,3,,VR,42682,,,,0,Ophryocotyle buecki,0,Ophryocotyle buecki,0,suspect it's a pathogen of Microcebus rufus,http://datadryad.org/bitstream/handle/10255/dryad.45841/Cooper%26Nunn CountryParasiteSAC.txt?sequence=1,NEED,VR,42682,,,,NA,0,1,No,,,,Ophryocotyle buecki,Ophryocotyle buecki,,
Opisthorchis felineus,NA,0,,0,1,1,1,,VR,42682,,,,0,Opisthorchis felineus,2980,Opisthorchis felineus,118,,Armignacco et al. 2008,,VR,42682,,,,NA,0,1,No,,,,Opisthorchis felineus,Opisthorchis felineus,,
Opisthorchis viverrini,NA,0,,0,1,1,1,,VR,42682,,,,1,Opisthorchis viverrini,6000,Opisthorchis viverrini,936,"liver fluke found in cats, dogs, and humans, acquired by eating raw fish",Sithithaworn and Haswell-Elkins 2003,,VR,42682,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Opisthorchis viverrini,,,
Orbivirus African horse sickness virus,NA,0,,-1,1,-1,1,,VR,42682,,,,0,Orbivirus African horse sickness virus,3140,Orbivirus African horse sickness virus,88,"found in horses, could not find any reported human cases",Lord 2008,,VR,42682,,,,NA,0,1,No,,,,Orbivirus African horse sickness virus,Orbivirus African horse sickness virus,,
Orbivirus Bluetongue virus serotype 1,NA,0,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 1,3680,Orbivirus Bluetongue virus serotype 1,101,,"Fernandez-Pacheco et al., 2008",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 1,,,
Orbivirus Bluetongue virus serotype 10,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 10,3540,Orbivirus Bluetongue virus serotype 10,62,,"Richards et al., 1988",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 10,,,
Orbivirus Bluetongue virus serotype 11,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 11,3310,Orbivirus Bluetongue virus serotype 11,17,,"Gaudreault et al., 2015",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 11,,,
Orbivirus Bluetongue virus serotype 13,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 13,3140,Orbivirus Bluetongue virus serotype 13,15,,"Maclachlan et al., 2013",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 13,,,
Orbivirus Bluetongue virus serotype 17,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 17,3190,Orbivirus Bluetongue virus serotype 17,15,,"Matos et al., 2016",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 17,,,
Orbivirus Bluetongue virus serotype 2,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 2,3680,Orbivirus Bluetongue virus serotype 2,98,,Sellers and Maarouf 1989,,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 2,,,
Orbivirus Bluetongue virus serotype 20,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 20,3350,Orbivirus Bluetongue virus serotype 20,7,,Urin and Squire 1982,,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 20,,,
Orbivirus Bluetongue virus serotype 21,NA,3,,-1,3,-1,1,,VR,42682,,,,0,Orbivirus Bluetongue virus serotype 21,3050,Orbivirus Bluetongue virus serotype 21,10,,"Sushmitha et al., 2012",,VR,42682,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Bluetongue virus.,,,Orbivirus Bluetongue virus serotype 21,,,
Orbivirus Bunyip creek virus,NA,0,,,,-1,2,,VR,42681,,,,0,Orbivirus Bunyip creek virus,48,Orbivirus Bunyip creek virus,2,,"Kurogi et al., 1989",,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orbivirus Bunyip creek virus,,,
Orbivirus D'Aguilar virus,NA,0,,-1,3,-1,1,,VR,42681,,,,0,Orbivirus D'Aguilar virus,105,Orbivirus D'Aguilar virus,3,found in cattle,Cybinki and St. George 1982,,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orbivirus D'Aguilar virus,,,
Orbivirus Epizootic hemorrhagic disease virus serotype 1,NA,3,,,,-1,1,,VR,42681,,,,0,Orbivirus Epizootic hemorrhagic disease virus serotype 1,1760,Orbivirus Epizootic hemorrhagic disease virus serotype 1,40,,"Stallknecht et al., 1995",,VR,42681,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Epizootic hemorrhagic disease virus.,,,Orbivirus Epizootic hemorrhagic disease virus serotype 1,,,
Orbivirus Epizootic hemorrhagic disease virus serotype 2,NA,3,,,,-1,1,,VR,42681,,,,0,Orbivirus Epizootic hemorrhagic disease virus serotype 2,1760,Orbivirus Epizootic hemorrhagic disease virus serotype 2,39,,Sellers and Maarouf 1991,,VR,42681,,,,NA,0,0,Yes,GMPD only has traits for Orbivirus Epizootic hemorrhagic disease virus.,,,Orbivirus Epizootic hemorrhagic disease virus serotype 2,,,
Orbivirus Eubenangee virus,NA,0,,-1,1,-1,2,,VR,42681,,,,0,Orbivirus Eubenangee virus,239,Orbivirus Eubenangee virus,4,found in marsupials and cattle,Belaganahalli et al. 2012,,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orbivirus Eubenangee virus,,,
Orbivirus Marrakai virus,NA,3,,,,-1,3,,VR,42681,,,,0,Orbivirus Marrakai virus,32,Orbivirus Marrakai virus,0,Potential for transmission to humans,"Standfast et al., 1984",,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files (2018/07/29).,,,Orbivirus Marrakai virus,,,
Orbivirus Orungo fever,NA,0,,1,3,2,3,,VR,42681,2,3,"Plenty_of_articles,_but_I_have_access_to_almost_none_of_them.__Acha,_vol_2,_pg._231:_Around_60_cases_in_Africa.__Acha,_citing_Tomori_and_Fabiyi_1976_(no_access_to_anything_beyond_the_abstract):_widespread_seroprevalence_in_Nigeria_(23%_of_people_tested),_and_also_found_in_sheep,_cattle,_and_primates.__Acha_also_states_that_it_was_found_in_various_Anopholes,_Ades,_and_Culex_spp.__""It_is_thought_that_the_virus_is_transmitted_by_Anopheles_and_Aedes_vectors_to_humans_and_domestic_animals_in_urban_areas,_and_among_wild_nonhuman_primates_in_enzootic_rural_areas""_-_again_citing_Tomori_and_Fabiyi_1976.",0,Orbivirus Orungo fever,163,Orbivirus Orungo fever,1,"found in humans, cattle and primates.  Vector is thought to be mosquitos. One site also called it Oklahoma tick fever, but I could not confirm that these were the same pathogen ",Tomori and Aitken 1978,,VR,42681,,Tomori and Fabiyi 1976,,NA,0,0,Yes,,Orbivirus Orungo virus,,Orbivirus Orungo virus,Orbivirus Orungo virus,,
Orchopeas agilis,NA,0,,,,-1,3,,VR,42681,,,,0,Orchopeas agilis,66,Orchopeas agilis,2,potential carrier of plague,Lewis 2000,,VR,42681,,,,NA,0,1,No,,,,Orchopeas agilis,Orchopeas agilis,,
Orchopeas caedens,NA,0,,3?,,-1,3,,VR,42681,,,,0,Orchopeas caedens,134,Orchopeas caedens,3,potential carrier of plague,Perez-Orella and Schulte-Hostedde 2005,,VR,42681,,,,NA,0,1,No,,,,Orchopeas caedens,Orchopeas caedens,,
Orchopeas howardi,NA,0,,3?,,-1,2,,VR,42681,,,,0,Orchopeas howardi,238,Orchopeas howardi,21,potential carrier of plague,"Reeves et al., 2005",,VR,42681,,,,NA,0,1,No,,,,Orchopeas howardi,Orchopeas howardi,,
Orchopeas latens,NA,0,,3?,,-1,3,,VR,42681,,,,0,Orchopeas latens,10,Orchopeas latens,0,potential carrier of plague,Lewis 2000,,VR,42681,,,,NA,0,1,No,,,,Orchopeas latens,Orchopeas latens,,
Ornithonyssus wernecki,NA,0,,-1,1,-1,3,,VR,42681,,,,0,Ornithonyssus wernecki,66,Ornithonyssus wernecki,3,"mite parasite of skunks, raccoons, and possums","Nieri-Bastos et al., 2011",,VR,42681,,,,NA,0,1,No,,,,Ornithonyssus wernecki,Ornithonyssus wernecki,,
Oropsylla arctomys,NA,0,,-1,1,-1,3,,VR,42681,,,,0,Oropsylla arctomys,90,Oropsylla arctomys,2,"flea that predates on the woodchuck, but will move to other mammal hosts that encounter woodchuck nesting material",Eckerlin 2016,,VR,42681,,,,NA,0,1,No,,,,Oropsylla arctomys,Oropsylla arctomys,,
Oropsylla hirsuta,NA,0,,3?,,1,3,,VR,42681,,,,0,Oropsylla hirsuta,251,Oropsylla hirsuta,39,"flea vector of Yersinia pestis (plague)- transmitted to black prairie dogs, which can inturn transmit it to humans (potentially)","Seery et al., 2003",,VR,42681,,,,NA,0,1,No,,,,Oropsylla hirsuta,Oropsylla hirsuta,,
Oropsylla montana,NA,0,,3?,,0,2,,VR,42681,,,,0,Oropsylla montana,531,Oropsylla montana,37,flea vector of Yersinia pestis (plague). Predates on many small mammals and humans,"Johnson et al., 2014",,VR,42681,,,,NA,0,1,No,,,,Oropsylla montana,Oropsylla montana,,
Orthobunyavirus Akabane virus,NA,0,,-1,1,-1,1,,VR,42681,,,,0,Orthobunyavirus Akabane virus,574,Orthobunyavirus Akabane virus,67,"virus that causes birth defects, neural damage, and abortions in cattle.  Vectored by a midge","Hayama et al., 2016",,VR,42681,,,,NA,0,1,No,,,,Orthobunyavirus Akabane virus,Orthobunyavirus Akabane virus,,
Orthobunyavirus Bakau Tanjong Rabok,NA,0,,1,3,0,3,,VR,42678,0,3,"No_good_citations_for_Tanjong_Rabok_(TRV).__A_thesis_states_that_viruses_in_the_Bakau_serogroup_(which_includes_TRV)_were_isolated_from_monkeys_and_serological_surveys_indicate_that_they_infect_birds,_bats,_flying_squirrels,_and_rodents.__Antibody_surveys_have_shown_that_Bakau_viruses_infect_humans_(Mohamed_2007).__A_book_by_Beran_1994_states_that_TRV_was_isolated_from_the_blood_of_pigtailed_macaques_in_west_Malaysia_and_that_antibodies_occur_in_monkeys,_flying_squirrels,_bats,_and_humans.__It_is_known_only_from_West_Malaysia_where_it_exists_in_swamp_forest_canopy-dwelling_mammals_(monkeys,_flying_squirrels,_and_bats).__Two_possible_cases_of_illness,_one_with_hemorrhagi_manifestations,_have_been_attributed_to_infection_with_Tanjong_Rabok_virus,_but_its_relationship_to_human_disease_has_not_been_confirmed.__CDC_states_that_it's_found_in_macaques:_file:///C:/Users/feinbergp/Downloads/ArboCat_TRV.pdf_&_http://www.cdc.gov/biosafety/publications/bmbl5/BMBL5_sect_VIII_f.pdf__CDC_rating_S_2",0,Orthobunyavirus Bakau Tanjong Rabok,4,Orthobunyavirus Bakau Tanjong Rabok,0,"found in macaques, flying quirrels, bats, and humans. Not sure if pathogenic in humans?","Beran 1994, pg 279",yes,VR,42678,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Bakau Tanjong Rabok,,,
Orthobunyavirus Bunyamwera Maguari,NA,3,,,,0,2,,VR,42678,,,,0,Orthobunyavirus Bunyamwera Maguari,114,Orthobunyavirus Bunyamwera Maguari,2,,"Calisher et al., 1987",NEEd,VR,42678,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Bunyamwera Maguari,,,
Orthobunyavirus Bwamba,NA,0,,1,3,0,1,,VR,42678,0,3,"GIDEON:_mosquito-vectored_disease_found_in_many_countries_in_Africa.__Lutwama_et_al._2002:_Infects_human_and_vectored_by_various_mosquito_spp.__Citing_other_articles,_but_antibodies_to_Bwamba_cirus_have_been_found_in_birds,_monkeys,_and_donkeys._""The_natural_history_of_BWA_is_not_very_clear._While_antibodies_against_BWA_were_demonstrated_in_monkeys_and_donkeys,_the_natural_reservoir_hosts_are_not_known._There_may_be_vertebrate_hosts_or_the_vectors_themselves_may_constitute_the_main_reservoirs._In_the_absence_of_recent_sero-survey_data_on_prevalence_of_BWA_virus,_conclusions_regarding_the_significance_of_these_infections_are_presently_impossible_for_Uganda._Studies_need_to_be_carried_out_to_understand_the_natural_history_of_BWA_virus,_especially,_in_light_of_re-emerging_infections.""__Low_confidence_in_""0""_because_maybe_it_should_be_a_""2"".__Tomor_et_al._1974_(abstract_only):_Surveyed_984_people_in_Nigeria_and_found_over_50%_were_positive_for_Bwamba_antibodies.__Surveyed_502_non-human_vertebrates_and_found_no_antibodies.",0,Orthobunyavirus Bwamba,144,Orthobunyavirus Bwamba,5,,"Lutwama et al., 2002",,VR,42678,,Lutwana et al. 2002,Tomor et al. 1974,NA,0,0,Yes,,Orthobunyavirus Bwamba orthobunyavirus,,Orthobunyavirus Bwamba orthobunyavirus,Orthobunyavirus Bwamba orthobunyavirus,,
Orthobunyavirus California encephalitis virus Lumbo,NA,3,,-1,2,-1,1,,VR,42678,,,,0,Orthobunyavirus California encephalitis virus Lumbo,183,Orthobunyavirus California encephalitis virus Lumbo,0,no reported human cases yet,"Kokernot et al., 1962",,VR,42678,,,,NA,0,0,Yes,GMPD only has traits for Orthobunyavirus California encephalitis orthobunyavirus.,,,Orthobunyavirus California encephalitis virus Lumbo,,,
Orthobunyavirus California encephalitis virus Melao,NA,3,,-1,1,-1,1,,VR,42678,,,,0,Orthobunyavirus California encephalitis virus Melao,72,Orthobunyavirus California encephalitis virus Melao,0,no human cases,"Carvalho et al., 2009",,VR,42678,,,,NA,0,0,Yes,GMPD only has traits for Orthobunyavirus California encephalitis orthobunyavirus.,,,Orthobunyavirus California encephalitis virus Melao,,,
Orthobunyavirus Caraparu,NA,0,,2,2,2,1,,VR,42678,2,1,"Acha,_vol_2,_pg_132:_""In_the_Ribeira_valley_region_[in_Brazil]...blood_samples_were_taken_from_83_workers_living_near_the_jungle_and_12_of_them_were_positive_for_the_Caraparu_virus_in_the_hemagglutination_inhibition_test.__In_addition,_women_and_children_living_in_the_region's_small_village_were_also_positive.__A_biologist_who_worked_in_the_jungle...developed_an_undifferentiated_fever...blood_samples_demonstrated_seroconversion_for_the_Carapu_virus.""_&_""Humans_become_accidental_hosts_when_they_go_into_the_jungle_for_occupational_reasons_and_contract_the_infection_from_the_bite_of_an_infected_mosquito.""__Reservoirs_are_jungle_rodents_and_marsupials,_vector_is_Culex_mosquitoes.___Iversson_et_al._1987_describes_a_case.__GIDEON_concurs_that_this_disease_is_found_in_humans,_hence_my_higher_confidence_score.",0,Orthobunyavirus Caraparu,116,Orthobunyavirus Caraparu,11,"sound in sentinel monkeys, among other mammals.  One fever case reported in the 1960s.",Magalhaes et al. 2007,,VR,42678,,Acha,Iversson et al 1987,NA,0,0,Yes,,Orthobunyavirus Caraparu orthobunyavirus,,Orthobunyavirus Caraparu orthobunyavirus,Orthobunyavirus Caraparu orthobunyavirus,,
Orthobunyavirus Catu,NA,0,,1,3,0,3,,VR,42678,0,3,"Price_1978:_Catu_found_in_Molossus_obscurus_in_Brazil_(insectivorous_bat).__Study_used_a_strain_of_Catu_from_sentinel_mice,_but_no_discussion_if_that_was_a_natural_infection_(probably_not?).__Hemagglutination_inhibition_antibody_to_Catu_found_in_Anoura_geoffroyi,_Carollia_perspicallata,_and_Phyllostomus_hastatus_(bat_spp)_in_Trinidad.__Abstract_only_but_Tikasingh_et_al._1974_isolated_Catu_from_a_human_in_Trinidad_and_mentions_that_Catu_has_been_isolated_from_humans_in_Brazil.__Vasconcelos_et_al._1990:_Catu_isolated_from_Plasmodium_falciparum_patient_in_Amazon_region_of_Brazil.__Vectored_by_culex_sp._mosquito",0,Orthobunyavirus Catu,101,Orthobunyavirus Catu,0,"has been isolated from a human, but can't get access to reference",Tikasingh et al. 1974,NEED,VR,42678,,Price 1978,Vasconcelos et al. 1990,NA,0,0,Yes,,Orthobunyavirus Catu orthobunyavirus,,Orthobunyavirus Catu orthobunyavirus,Orthobunyavirus Catu orthobunyavirus,,
Orthobunyavirus Germiston virus,NA,0,,0,2,0,2,,VR,42681,,,,1,Orthobunyavirus Germiston virus,172,Orthobunyavirus Germiston virus,2,"mosquitoborne, seems that humans/mosquitos are the host, other mammals have been infected in labs","Odhiambo et al., 2015",,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Germiston virus,,,
Orthobunyavirus guama,NA,0,,-1,2,-1,2,,VR,42678,,,,0,Orthobunyavirus guama,166,Orthobunyavirus guama,5,"sentinel monkey, no human cases although others in the guama group have been found in humans","Calisher et al., 1983",NEED,VR,42678,,,,NA,0,0,Yes,,Orthobunyavirus Guama orthobunyavirus,,Orthobunyavirus Guama orthobunyavirus,Orthobunyavirus Guama orthobunyavirus,,
Orthobunyavirus Ilesha virus,NA,0,,0/5,2,0,2,,VR,42681,,,,1,Orthobunyavirus Ilesha virus,127,Orthobunyavirus Ilesha virus,4,"mosquitoborne, found in humans, other mammals infected in lab","Pachler et al., 2013",,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Ilesha virus,,,
Orthobunyavirus Inkoo virus,NA,0,,2,2,2,2,,VR,42681,2,1,"Acha_Vol_2,_pg_68:_Febrile_illness_in_a_human_in_Finland_attributed_to_Inkoo_virus.__Putkuri_et_al._2007:_Inkoo_virus_(INKV)_is_a_member_of_the_CA_serogroup_of_orthobunyaviruses.__In_introduction_says_that_Inkoo_virus_is_widespread_in_most_countries_in_northern_Europe.__INKV_first_isolated_from_mosquitoes_in_Finland_in_1964_(Brummer-Korvenkontio_et_al._1973)_and_its_pricipal_vector_is_Aedes_communis.__INKV_is_common_in_Finland,_with_a_24%_human_seroprevalence_documented_in_the_1960s_(Brummer-Korvenkontio_1973).__In_Finland,_human_seroprevalence_increased_when_the_seroprevalence_in_cows_and_reindeer_increased.__Additionally,_many_moose_and_redfox_were_""Inkoo_reactors""_and_a_few_snow_hares_were_seropositive.",1,Orthobunyavirus Inkoo virus,142,Orthobunyavirus Inkoo virus,3,"found in Acha, Brummer-Korvenkontio and Saikku found antibodies in reindeer, moose, fox, and snow hares. ","Putkuri et al., 2016",,VR,42681,,Brummer-Korvenkontio 1973,Putkuri et al. 2007,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Inkoo virus,,,
Orthobunyavirus Kairi,NA,0,,1,2,0,3,,VR,42678,0,3,"GIDEON:_transmitted_by_mosquitoes.__Found_in_South_America_where_cases_of_human_infection_and_seroprevalence_have_been_reported.__ArboCat_from_CDC_(https://wwwn.cdc.gov/Arbocat/Sections/PDFView.aspx?ID=221)_reports_antibodies_in_humans,_cebus_monkey,_and_donkey.__Tauro_et_al._2009:_Kairi_antibodies_detected_in_humans_in_Argentina_(previously,_KRIV_had_only_been_detected_in_Aedes_spp_and_a_horse_in_Argentina).__Blivich_et_al._2012:_KRIV-like_virus_found_in_chickens_and_a_turkey.__KRIV_found_in_mosquitoes,_humans,_and_48%_of_sampled_horses.__Like_all_these_orthobunyaviruses,_the_transmission/epidemiology_seems_to_be_poorly_known.__No_access_to_article_that_Calisher_et_al._1988_is_citing,_but_they_mention_that_Kairi_virus_was_isolated_from_monkeys_and_rodents_in_Brazil.",0,Orthobunyavirus Kairi,150,Orthobunyavirus Kairi,4,"normally found in horses, isolated from humans in Argentina",Gideon,,VR,42678,,Blivich et al. 2012,Tauro et al. 2009; Calisher et al. 1988,NA,0,0,Yes,,Orthobunyavirus Kairi orthobunyavirus,,Orthobunyavirus Kairi orthobunyavirus,Orthobunyavirus Kairi orthobunyavirus,,
Orthobunyavirus Main Drain virus,NA,0,,-1,1,-1,1,,VR,42681,,,,0,Orthobunyavirus Main Drain virus,231,Orthobunyavirus Main Drain virus,3,"found in small mammals, causes equine encephalomyelitis",Emmons et al. 1983,NEED,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Main Drain virus,,,
Orthobunyavirus Manzanilla,NA,0,,-1,3,-1,3,,VR,42678,,,,0,Orthobunyavirus Manzanilla,46,Orthobunyavirus Manzanilla,2,isolated from howler monkey,"Ladner et al., 2014",,VR,42678,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Manzanilla,,,
Orthobunyavirus Marituba,NA,0,,0,2,0,1,,VR,42678,,,,0,Orthobunyavirus Marituba,57,Orthobunyavirus Marituba,1,mosquito vector,Fruguluhetti and Rebello 1989,,VR,42678,,,,NA,0,0,Yes,,Orthobunyavirus Marituba orthobunyavirus,,Orthobunyavirus Marituba orthobunyavirus,Orthobunyavirus Marituba orthobunyavirus,,
Orthobunyavirus Marituba Murutucu,NA,0,,1,3,0,3,,VR,42678,0,3,"GIDEON:_Group_C_orthabunyavirus;_Vectored_by_Coquillettidia,_Culex,_and_Sabenthini_spp._of_mosquitoes.__Found_in_humans_in_Brazil,_French_Guinea,_and_Peru.__Book_by_Webber_2012_says_Murutucu_virus_is_transmitted_via_culicine_mosquitoes_but_has_a_rodent_reservoir_but_has_no_citation.__CDC's_arbocat_database_(https://wwwn.cdc.gov/Arbocat/Sections/PDFView.aspx?ID=318)_reports_MURV_antibodies_detected_in_humans,_monkeys_(Cebus_apella,_I_think),_Caluromys_philander,_Didelphis_marsupialis,_Marmosa_spp,_and_Metachirus_nudicaudatus.__Non-human_reservoirs_described_in_this_non-peer_reviewed_piece_from_Walter_Reed:_http://www.dtic.mil/dtic/tr/fulltext/u2/a604938.pdf",0,Orthobunyavirus Marituba Murutucu,36,Orthobunyavirus Marituba Murutucu,0,"causes febrile illness, ",Gideon,,VR,42678,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Marituba Murutucu,,,
Orthobunyavirus oriboca,NA,0,,1,3,0,1,,VR,42678,0,3,"GIDEON:_Group_C_orthabunyavirus;_Vectored_by_Aedes,_Culex,_Psorophora,_and_Mansonia_spp.__Found_in_humans_in_Brazil,_French_Guiana,_Guyana,_Suriname,_and_Trinidad_&_Tobago.__Price_1978:_Bat_in_Trinidad_(Artibeus_lituratus)_HI_positive_for_Oriboca.__Verlinde_1968:_can't_access,_but_title_implies_that_cynomolgus_monkeys_were_experimentally_infected,_but_no_idea_if_they_were_actually_susceptible.__Nozawa_et_al._1974:_article_GIDEON_cites_for_Oriboca_found_in_Brazil.__Article_is_in_Portuguese_and_inaccessible.__Rosato_et_al._1974:_prototype_strain_of_Oriboca_was_isolated_from_a_sentinel_monkey_in_Oriboca_forest,_Belem,_Brazil_in_1954_(cites_other_older_sources).__Could_not_find_information_on_transmission.__Toda_and_Shope_1965:_naturally_infected_mosquitoes_in_Belem,_Brazil.__In_lab_setting,_mosquitoes_transmitted_Oriboca_virus_to_Swiss_mice.",0,Orthobunyavirus oriboca,523,Orthobunyavirus oriboca,3,,Gideon,,VR,42678,,Price 1978; Toda and Shope 1965,GIDEON; Rosato et al. 1974,NA,0,0,Yes,,Orthobunyavirus Oriboca orthobunyavirus,,Orthobunyavirus Oriboca orthobunyavirus,Orthobunyavirus Oriboca orthobunyavirus,,
Orthobunyavirus Sathuperi virus,NA,0,,-1,3,-1,2,,VR,42681,,,,0,Orthobunyavirus Sathuperi virus,211,Orthobunyavirus Sathuperi virus,9,found in cattle,Yanase et al. 2004,,VR,42681,,,,NA,0,0,Yes,,Orthobunyavirus Sathuperi orthobunyavirus,Orthobunyavirus Sathuperi orthobunyavirus,Orthobunyavirus Sathuperi orthobunyavirus,Orthobunyavirus Sathuperi orthobunyavirus,,
Orthobunyavirus Shamonda virus,NA,0,,-1,3,-1,2,,VR,42681,,,,0,Orthobunyavirus Shamonda virus,282,Orthobunyavirus Shamonda virus,22,found in ruminants,"Garigliani et al., 2012",,VR,42681,,,,NA,0,0,Yes,,Orthobunyavirus Shamonda orthobunyavirus,,Orthobunyavirus Shamonda orthobunyavirus,Orthobunyavirus Shamonda orthobunyavirus,,
Orthobunyavirus Shokwe virus,NA,0,,5,3,0,3,,VR,42681,,,,1,Orthobunyavirus Shokwe virus,76,Orthobunyavirus Shokwe virus,1,"south african virus, mosquitoborne, very difficult to find any information other than that it has caused illness in humans, no record of any other mammal host",Campbell et al.. 2006,,VR,42681,,,,NA,0,0,Yes,Can't find it in GMPD files (2018/07/31).,,,,,,
Orthobunyavirus Shuni virus,NA,0,,-1,3,0,3,,VR,42681,,,,0,Orthobunyavirus Shuni virus,172,Orthobunyavirus Shuni virus,3,mosquito vectored virus found in horses,"van Eeden et al., 2014",,VR,42681,,,,NA,0,0,Yes,,Orthobunyavirus Shuni orthobunyavirus,,Orthobunyavirus Shuni orthobunyavirus,Orthobunyavirus Shuni orthobunyavirus,,
Orthobunyavirus Simbu Oropouche,NA,0,,4,1,3,1,,VR,42678,3,1,"Exposure_to_sylvatic_cycle_introduces_the_parasite_into_humans_who_then_return_to_cities;_in_urban_settings,_the_disease_can_be_maintained_via_humans_and_Culicoides_vector_(Acha).__Also_an_epidemic_in_2006_in_the_Brazilian_Amazon.__Epidemics_associated_with_high_rainfall,_deforestation,_colonization,_and_unplanned_urbanization.__Tesh_1994_also_a_good_resource",0,Orthobunyavirus Simbu Oropouche,229,Orthobunyavirus Simbu Oropouche,9,"has wild and urban modes of transmission.  In wild many mammals may be a reservoir and humans are an incidental bite.  In urban, viremic humans bitten by mosquito vector perpetuate the disease","Nunes et al., 2005",,VR,42678,,Acha et al. vol II pg. 229,Tesh 1994,NA,0,0,Yes,Can't find it in GMPD files.,,,Orthobunyavirus Simbu Oropouche,,,
